field,zone,spaceType,version,colNumber,rowNumber
樂天桃園棒球場,西下A,seat,1.0.0,3,18
樂天桃園棒球場,西下A,seat,1.0.0,3,19
樂天桃園棒球場,西下A,pillar,1.0.0,4,1
樂天桃園棒球場,西下A,pillar,1.0.0,4,2
樂天桃園棒球場,西下A,pillar,1.0.0,4,3
樂天桃園棒球場,西下A,pillar,1.0.0,4,4
樂天桃園棒球場,西下A,pillar,1.0.0,4,5
樂天桃園棒球場,西下A,pillar,1.0.0,4,6
樂天桃園棒球場,西下A,pillar,1.0.0,4,7
樂天桃園棒球場,西下A,pillar,1.0.0,4,8
樂天桃園棒球場,西下A,pillar,1.0.0,4,9
樂天桃園棒球場,西下A,pillar,1.0.0,4,10
樂天桃園棒球場,西下A,seat,1.0.0,4,11
樂天桃園棒球場,西下A,seat,1.0.0,4,12
樂天桃園棒球場,西下A,seat,1.0.0,4,13
樂天桃園棒球場,西下A,seat,1.0.0,4,14
樂天桃園棒球場,西下A,seat,1.0.0,4,15
樂天桃園棒球場,西下A,seat,1.0.0,4,16
樂天桃園棒球場,西下A,seat,1.0.0,4,17
樂天桃園棒球場,西下A,seat,1.0.0,4,18
樂天桃園棒球場,西下A,seat,1.0.0,4,19
樂天桃園棒球場,西下A,pillar,1.0.0,5,1
樂天桃園棒球場,西下A,pillar,1.0.0,5,2
樂天桃園棒球場,西下A,pillar,1.0.0,5,3
樂天桃園棒球場,西下A,pillar,1.0.0,5,4
樂天桃園棒球場,西下A,pillar,1.0.0,5,5
樂天桃園棒球場,西下A,pillar,1.0.0,5,6
樂天桃園棒球場,西下A,pillar,1.0.0,5,7
樂天桃園棒球場,西下A,pillar,1.0.0,5,8
樂天桃園棒球場,西下A,seat,1.0.0,5,9
樂天桃園棒球場,西下A,seat,1.0.0,5,10
樂天桃園棒球場,西下A,seat,1.0.0,5,11
樂天桃園棒球場,西下A,seat,1.0.0,5,12
樂天桃園棒球場,西下A,seat,1.0.0,5,13
樂天桃園棒球場,西下A,seat,1.0.0,5,14
樂天桃園棒球場,西下A,seat,1.0.0,5,15
樂天桃園棒球場,西下A,seat,1.0.0,5,16
樂天桃園棒球場,西下A,seat,1.0.0,5,17
樂天桃園棒球場,西下A,seat,1.0.0,5,18
樂天桃園棒球場,西下A,seat,1.0.0,5,19
樂天桃園棒球場,西下A,pillar,1.0.0,6,1
樂天桃園棒球場,西下A,pillar,1.0.0,6,2
樂天桃園棒球場,西下A,pillar,1.0.0,6,3
樂天桃園棒球場,西下A,pillar,1.0.0,6,4
樂天桃園棒球場,西下A,pillar,1.0.0,6,5
樂天桃園棒球場,西下A,pillar,1.0.0,6,6
樂天桃園棒球場,西下A,pillar,1.0.0,6,7
樂天桃園棒球場,西下A,pillar,1.0.0,6,8
樂天桃園棒球場,西下A,seat,1.0.0,6,9
樂天桃園棒球場,西下A,seat,1.0.0,6,10
樂天桃園棒球場,西下A,seat,1.0.0,6,11
樂天桃園棒球場,西下A,seat,1.0.0,6,12
樂天桃園棒球場,西下A,seat,1.0.0,6,13
樂天桃園棒球場,西下A,seat,1.0.0,6,14
樂天桃園棒球場,西下A,seat,1.0.0,6,15
樂天桃園棒球場,西下A,seat,1.0.0,6,16
樂天桃園棒球場,西下A,seat,1.0.0,6,17
樂天桃園棒球場,西下A,seat,1.0.0,6,18
樂天桃園棒球場,西下A,seat,1.0.0,6,19
樂天桃園棒球場,西下A,pillar,1.0.0,7,1
樂天桃園棒球場,西下A,pillar,1.0.0,7,2
樂天桃園棒球場,西下A,pillar,1.0.0,7,3
樂天桃園棒球場,西下A,pillar,1.0.0,7,4
樂天桃園棒球場,西下A,pillar,1.0.0,7,5
樂天桃園棒球場,西下A,pillar,1.0.0,7,6
樂天桃園棒球場,西下A,pillar,1.0.0,7,7
樂天桃園棒球場,西下A,pillar,1.0.0,7,8
樂天桃園棒球場,西下A,seat,1.0.0,7,9
樂天桃園棒球場,西下A,seat,1.0.0,7,10
樂天桃園棒球場,西下A,seat,1.0.0,7,11
樂天桃園棒球場,西下A,seat,1.0.0,7,12
樂天桃園棒球場,西下A,seat,1.0.0,7,13
樂天桃園棒球場,西下A,seat,1.0.0,7,14
樂天桃園棒球場,西下A,seat,1.0.0,7,15
樂天桃園棒球場,西下A,seat,1.0.0,7,16
樂天桃園棒球場,西下A,seat,1.0.0,7,17
樂天桃園棒球場,西下A,seat,1.0.0,7,18
樂天桃園棒球場,西下A,seat,1.0.0,7,19
樂天桃園棒球場,西下A,pillar,1.0.0,8,1
樂天桃園棒球場,西下A,pillar,1.0.0,8,2
樂天桃園棒球場,西下A,pillar,1.0.0,8,3
樂天桃園棒球場,西下A,pillar,1.0.0,8,4
樂天桃園棒球場,西下A,pillar,1.0.0,8,5
樂天桃園棒球場,西下A,pillar,1.0.0,8,6
樂天桃園棒球場,西下A,pillar,1.0.0,8,7
樂天桃園棒球場,西下A,pillar,1.0.0,8,8
樂天桃園棒球場,西下A,seat,1.0.0,8,9
樂天桃園棒球場,西下A,seat,1.0.0,8,10
樂天桃園棒球場,西下A,seat,1.0.0,8,11
樂天桃園棒球場,西下A,seat,1.0.0,8,12
樂天桃園棒球場,西下A,seat,1.0.0,8,13
樂天桃園棒球場,西下A,seat,1.0.0,8,14
樂天桃園棒球場,西下A,seat,1.0.0,8,15
樂天桃園棒球場,西下A,seat,1.0.0,8,16
樂天桃園棒球場,西下A,seat,1.0.0,8,17
樂天桃園棒球場,西下A,seat,1.0.0,8,18
樂天桃園棒球場,西下A,seat,1.0.0,8,19
樂天桃園棒球場,西下A,seat,1.0.0,9,1
樂天桃園棒球場,西下A,seat,1.0.0,9,2
樂天桃園棒球場,西下A,seat,1.0.0,9,3
樂天桃園棒球場,西下A,seat,1.0.0,9,4
樂天桃園棒球場,西下A,seat,1.0.0,9,5
樂天桃園棒球場,西下A,seat,1.0.0,9,6
樂天桃園棒球場,西下A,seat,1.0.0,9,7
樂天桃園棒球場,西下A,seat,1.0.0,9,8
樂天桃園棒球場,西下A,seat,1.0.0,9,9
樂天桃園棒球場,西下A,seat,1.0.0,9,10
樂天桃園棒球場,西下A,seat,1.0.0,9,11
樂天桃園棒球場,西下A,seat,1.0.0,9,12
樂天桃園棒球場,西下A,seat,1.0.0,9,13
樂天桃園棒球場,西下A,seat,1.0.0,9,14
樂天桃園棒球場,西下A,seat,1.0.0,9,15
樂天桃園棒球場,西下A,seat,1.0.0,9,16
樂天桃園棒球場,西下A,seat,1.0.0,9,17
樂天桃園棒球場,西下A,seat,1.0.0,9,18
樂天桃園棒球場,西下A,seat,1.0.0,9,19
樂天桃園棒球場,西下A,seat,1.0.0,10,1
樂天桃園棒球場,西下A,seat,1.0.0,10,2
樂天桃園棒球場,西下A,seat,1.0.0,10,3
樂天桃園棒球場,西下A,seat,1.0.0,10,4
樂天桃園棒球場,西下A,seat,1.0.0,10,5
樂天桃園棒球場,西下A,seat,1.0.0,10,6
樂天桃園棒球場,西下A,seat,1.0.0,10,7
樂天桃園棒球場,西下A,seat,1.0.0,10,8
樂天桃園棒球場,西下A,seat,1.0.0,10,9
樂天桃園棒球場,西下A,seat,1.0.0,10,10
樂天桃園棒球場,西下A,seat,1.0.0,10,11
樂天桃園棒球場,西下A,seat,1.0.0,10,12
樂天桃園棒球場,西下A,seat,1.0.0,10,13
樂天桃園棒球場,西下A,seat,1.0.0,10,14
樂天桃園棒球場,西下A,seat,1.0.0,10,15
樂天桃園棒球場,西下A,seat,1.0.0,10,16
樂天桃園棒球場,西下A,seat,1.0.0,10,17
樂天桃園棒球場,西下A,seat,1.0.0,10,18
樂天桃園棒球場,西下A,seat,1.0.0,10,19
樂天桃園棒球場,西下A,seat,1.0.0,11,1
樂天桃園棒球場,西下A,seat,1.0.0,11,2
樂天桃園棒球場,西下A,seat,1.0.0,11,3
樂天桃園棒球場,西下A,seat,1.0.0,11,4
樂天桃園棒球場,西下A,seat,1.0.0,11,5
樂天桃園棒球場,西下A,seat,1.0.0,11,6
樂天桃園棒球場,西下A,seat,1.0.0,11,7
樂天桃園棒球場,西下A,seat,1.0.0,11,8
樂天桃園棒球場,西下A,seat,1.0.0,11,9
樂天桃園棒球場,西下A,seat,1.0.0,11,10
樂天桃園棒球場,西下A,seat,1.0.0,11,11
樂天桃園棒球場,西下A,seat,1.0.0,11,12
樂天桃園棒球場,西下A,seat,1.0.0,11,13
樂天桃園棒球場,西下A,seat,1.0.0,11,14
樂天桃園棒球場,西下A,seat,1.0.0,11,15
樂天桃園棒球場,西下A,seat,1.0.0,11,16
樂天桃園棒球場,西下A,seat,1.0.0,11,17
樂天桃園棒球場,西下A,seat,1.0.0,11,18
樂天桃園棒球場,西下A,seat,1.0.0,11,19
樂天桃園棒球場,西下A,seat,1.0.0,12,1
樂天桃園棒球場,西下A,seat,1.0.0,12,2
樂天桃園棒球場,西下A,seat,1.0.0,12,3
樂天桃園棒球場,西下A,seat,1.0.0,12,4
樂天桃園棒球場,西下A,seat,1.0.0,12,5
樂天桃園棒球場,西下A,seat,1.0.0,12,6
樂天桃園棒球場,西下A,seat,1.0.0,12,7
樂天桃園棒球場,西下A,seat,1.0.0,12,8
樂天桃園棒球場,西下A,seat,1.0.0,12,9
樂天桃園棒球場,西下A,seat,1.0.0,12,10
樂天桃園棒球場,西下A,seat,1.0.0,12,11
樂天桃園棒球場,西下A,seat,1.0.0,12,12
樂天桃園棒球場,西下A,seat,1.0.0,12,13
樂天桃園棒球場,西下A,seat,1.0.0,12,14
樂天桃園棒球場,西下A,seat,1.0.0,12,15
樂天桃園棒球場,西下A,seat,1.0.0,12,16
樂天桃園棒球場,西下A,seat,1.0.0,12,17
樂天桃園棒球場,西下A,seat,1.0.0,12,18
樂天桃園棒球場,西下A,seat,1.0.0,12,19
樂天桃園棒球場,西下A,seat,1.0.0,13,1
樂天桃園棒球場,西下A,seat,1.0.0,13,2
樂天桃園棒球場,西下A,seat,1.0.0,13,3
樂天桃園棒球場,西下A,seat,1.0.0,13,4
樂天桃園棒球場,西下A,seat,1.0.0,13,5
樂天桃園棒球場,西下A,seat,1.0.0,13,6
樂天桃園棒球場,西下A,seat,1.0.0,13,7
樂天桃園棒球場,西下A,seat,1.0.0,13,8
樂天桃園棒球場,西下A,seat,1.0.0,13,9
樂天桃園棒球場,西下A,seat,1.0.0,13,10
樂天桃園棒球場,西下A,seat,1.0.0,13,11
樂天桃園棒球場,西下A,seat,1.0.0,13,12
樂天桃園棒球場,西下A,seat,1.0.0,13,13
樂天桃園棒球場,西下A,seat,1.0.0,13,14
樂天桃園棒球場,西下A,seat,1.0.0,13,15
樂天桃園棒球場,西下A,seat,1.0.0,13,16
樂天桃園棒球場,西下A,seat,1.0.0,13,17
樂天桃園棒球場,西下A,seat,1.0.0,13,18
樂天桃園棒球場,西下A,seat,1.0.0,13,19
樂天桃園棒球場,西下A,seat,1.0.0,14,1
樂天桃園棒球場,西下A,seat,1.0.0,14,2
樂天桃園棒球場,西下A,seat,1.0.0,14,3
樂天桃園棒球場,西下A,seat,1.0.0,14,4
樂天桃園棒球場,西下A,seat,1.0.0,14,5
樂天桃園棒球場,西下A,seat,1.0.0,14,6
樂天桃園棒球場,西下A,seat,1.0.0,14,7
樂天桃園棒球場,西下A,seat,1.0.0,14,8
樂天桃園棒球場,西下A,seat,1.0.0,14,9
樂天桃園棒球場,西下A,seat,1.0.0,14,10
樂天桃園棒球場,西下A,seat,1.0.0,14,11
樂天桃園棒球場,西下A,seat,1.0.0,14,12
樂天桃園棒球場,西下A,seat,1.0.0,14,13
樂天桃園棒球場,西下A,seat,1.0.0,14,14
樂天桃園棒球場,西下A,seat,1.0.0,14,15
樂天桃園棒球場,西下A,seat,1.0.0,14,16
樂天桃園棒球場,西下A,seat,1.0.0,14,17
樂天桃園棒球場,西下A,seat,1.0.0,14,18
樂天桃園棒球場,西下A,seat,1.0.0,14,19
樂天桃園棒球場,西下A,seat,1.0.0,15,1
樂天桃園棒球場,西下A,seat,1.0.0,15,2
樂天桃園棒球場,西下A,seat,1.0.0,15,3
樂天桃園棒球場,西下A,seat,1.0.0,15,4
樂天桃園棒球場,西下A,seat,1.0.0,15,5
樂天桃園棒球場,西下A,seat,1.0.0,15,6
樂天桃園棒球場,西下A,seat,1.0.0,15,7
樂天桃園棒球場,西下A,seat,1.0.0,15,8
樂天桃園棒球場,西下A,seat,1.0.0,15,9
樂天桃園棒球場,西下A,seat,1.0.0,15,10
樂天桃園棒球場,西下A,seat,1.0.0,15,11
樂天桃園棒球場,西下A,seat,1.0.0,15,12
樂天桃園棒球場,西下A,seat,1.0.0,15,13
樂天桃園棒球場,西下A,seat,1.0.0,15,14
樂天桃園棒球場,西下A,seat,1.0.0,15,15
樂天桃園棒球場,西下A,seat,1.0.0,15,16
樂天桃園棒球場,西下A,seat,1.0.0,15,17
樂天桃園棒球場,西下A,seat,1.0.0,15,18
樂天桃園棒球場,西下A,seat,1.0.0,15,19
樂天桃園棒球場,西下A,seat,1.0.0,16,1
樂天桃園棒球場,西下A,seat,1.0.0,16,2
樂天桃園棒球場,西下A,seat,1.0.0,16,3
樂天桃園棒球場,西下A,seat,1.0.0,16,4
樂天桃園棒球場,西下A,seat,1.0.0,16,5
樂天桃園棒球場,西下A,seat,1.0.0,16,6
樂天桃園棒球場,西下A,seat,1.0.0,16,7
樂天桃園棒球場,西下A,seat,1.0.0,16,8
樂天桃園棒球場,西下A,seat,1.0.0,16,9
樂天桃園棒球場,西下A,seat,1.0.0,16,10
樂天桃園棒球場,西下A,seat,1.0.0,16,11
樂天桃園棒球場,西下A,seat,1.0.0,16,12
樂天桃園棒球場,西下A,seat,1.0.0,16,13
樂天桃園棒球場,西下A,seat,1.0.0,16,14
樂天桃園棒球場,西下A,seat,1.0.0,16,15
樂天桃園棒球場,西下A,seat,1.0.0,16,16
樂天桃園棒球場,西下A,seat,1.0.0,16,17
樂天桃園棒球場,西下A,seat,1.0.0,16,18
樂天桃園棒球場,西下A,seat,1.0.0,16,19
樂天桃園棒球場,西下A,seat,1.0.0,17,1
樂天桃園棒球場,西下A,seat,1.0.0,17,2
樂天桃園棒球場,西下A,seat,1.0.0,17,3
樂天桃園棒球場,西下A,seat,1.0.0,17,4
樂天桃園棒球場,西下A,seat,1.0.0,17,5
樂天桃園棒球場,西下A,seat,1.0.0,17,6
樂天桃園棒球場,西下A,seat,1.0.0,17,7
樂天桃園棒球場,西下A,seat,1.0.0,17,8
樂天桃園棒球場,西下A,seat,1.0.0,17,9
樂天桃園棒球場,西下A,seat,1.0.0,17,10
樂天桃園棒球場,西下A,seat,1.0.0,17,11
樂天桃園棒球場,西下A,seat,1.0.0,17,12
樂天桃園棒球場,西下A,seat,1.0.0,17,13
樂天桃園棒球場,西下A,seat,1.0.0,17,14
樂天桃園棒球場,西下A,seat,1.0.0,17,15
樂天桃園棒球場,西下A,seat,1.0.0,17,16
樂天桃園棒球場,西下A,seat,1.0.0,17,17
樂天桃園棒球場,西下A,seat,1.0.0,17,18
樂天桃園棒球場,西下A,seat,1.0.0,17,19
樂天桃園棒球場,西下A,seat,1.0.0,18,1
樂天桃園棒球場,西下A,seat,1.0.0,18,2
樂天桃園棒球場,西下A,seat,1.0.0,18,3
樂天桃園棒球場,西下A,seat,1.0.0,18,4
樂天桃園棒球場,西下A,seat,1.0.0,18,5
樂天桃園棒球場,西下A,seat,1.0.0,18,6
樂天桃園棒球場,西下A,seat,1.0.0,18,7
樂天桃園棒球場,西下A,seat,1.0.0,18,8
樂天桃園棒球場,西下A,seat,1.0.0,18,9
樂天桃園棒球場,西下A,seat,1.0.0,18,10
樂天桃園棒球場,西下A,seat,1.0.0,18,11
樂天桃園棒球場,西下A,seat,1.0.0,18,12
樂天桃園棒球場,西下A,seat,1.0.0,18,13
樂天桃園棒球場,西下A,seat,1.0.0,18,14
樂天桃園棒球場,西下A,seat,1.0.0,18,15
樂天桃園棒球場,西下A,seat,1.0.0,18,16
樂天桃園棒球場,西下A,seat,1.0.0,18,17
樂天桃園棒球場,西下A,seat,1.0.0,18,18
樂天桃園棒球場,西下A,seat,1.0.0,18,19
樂天桃園棒球場,西下A,seat,1.0.0,19,1
樂天桃園棒球場,西下A,seat,1.0.0,19,2
樂天桃園棒球場,西下A,seat,1.0.0,19,3
樂天桃園棒球場,西下A,seat,1.0.0,19,4
樂天桃園棒球場,西下A,seat,1.0.0,19,5
樂天桃園棒球場,西下A,seat,1.0.0,19,6
樂天桃園棒球場,西下A,seat,1.0.0,19,7
樂天桃園棒球場,西下A,seat,1.0.0,19,8
樂天桃園棒球場,西下A,seat,1.0.0,19,9
樂天桃園棒球場,西下A,seat,1.0.0,19,10
樂天桃園棒球場,西下A,seat,1.0.0,19,11
樂天桃園棒球場,西下A,seat,1.0.0,19,12
樂天桃園棒球場,西下A,seat,1.0.0,19,13
樂天桃園棒球場,西下A,seat,1.0.0,19,14
樂天桃園棒球場,西下A,seat,1.0.0,19,15
樂天桃園棒球場,西下A,seat,1.0.0,19,16
樂天桃園棒球場,西下A,seat,1.0.0,19,17
樂天桃園棒球場,西下A,seat,1.0.0,19,18
樂天桃園棒球場,西下A,seat,1.0.0,19,19
樂天桃園棒球場,西下A,seat,1.0.0,20,1
樂天桃園棒球場,西下A,seat,1.0.0,20,2
樂天桃園棒球場,西下A,seat,1.0.0,20,3
樂天桃園棒球場,西下A,seat,1.0.0,20,4
樂天桃園棒球場,西下A,seat,1.0.0,20,5
樂天桃園棒球場,西下A,seat,1.0.0,20,6
樂天桃園棒球場,西下A,seat,1.0.0,20,7
樂天桃園棒球場,西下A,seat,1.0.0,20,8
樂天桃園棒球場,西下A,seat,1.0.0,20,9
樂天桃園棒球場,西下A,seat,1.0.0,20,10
樂天桃園棒球場,西下A,seat,1.0.0,20,11
樂天桃園棒球場,西下A,seat,1.0.0,20,12
樂天桃園棒球場,西下A,seat,1.0.0,20,13
樂天桃園棒球場,西下A,pillar,1.0.0,20,14
樂天桃園棒球場,西下A,pillar,1.0.0,20,15
樂天桃園棒球場,西下A,pillar,1.0.0,20,16
樂天桃園棒球場,西下A,seat,1.0.0,20,17
樂天桃園棒球場,西下A,seat,1.0.0,20,18
樂天桃園棒球場,西下A,seat,1.0.0,20,19
樂天桃園棒球場,西下A,seat,1.0.0,21,1
樂天桃園棒球場,西下A,seat,1.0.0,21,2
樂天桃園棒球場,西下A,seat,1.0.0,21,3
樂天桃園棒球場,西下A,seat,1.0.0,21,4
樂天桃園棒球場,西下A,seat,1.0.0,21,5
樂天桃園棒球場,西下A,seat,1.0.0,21,6
樂天桃園棒球場,西下A,seat,1.0.0,21,7
樂天桃園棒球場,西下A,seat,1.0.0,21,8
樂天桃園棒球場,西下A,seat,1.0.0,21,9
樂天桃園棒球場,西下A,seat,1.0.0,21,10
樂天桃園棒球場,西下A,seat,1.0.0,21,11
樂天桃園棒球場,西下A,seat,1.0.0,21,12
樂天桃園棒球場,西下A,seat,1.0.0,21,13
樂天桃園棒球場,西下A,pillar,1.0.0,21,14
樂天桃園棒球場,西下A,pillar,1.0.0,21,15
樂天桃園棒球場,西下A,pillar,1.0.0,21,16
樂天桃園棒球場,西下A,pillar,1.0.0,21,17
樂天桃園棒球場,西下A,pillar,1.0.0,21,18
樂天桃園棒球場,西下A,pillar,1.0.0,21,19
樂天桃園棒球場,西下A,pillar,1.0.0,22,1
樂天桃園棒球場,西下A,pillar,1.0.0,22,2
樂天桃園棒球場,西下A,seat,1.0.0,22,3
樂天桃園棒球場,西下A,seat,1.0.0,22,4
樂天桃園棒球場,西下A,seat,1.0.0,22,5
樂天桃園棒球場,西下A,seat,1.0.0,22,6
樂天桃園棒球場,西下A,seat,1.0.0,22,7
樂天桃園棒球場,西下A,seat,1.0.0,22,8
樂天桃園棒球場,西下A,seat,1.0.0,22,9
樂天桃園棒球場,西下A,seat,1.0.0,22,10
樂天桃園棒球場,西下A,seat,1.0.0,22,11
樂天桃園棒球場,西下A,seat,1.0.0,22,12
樂天桃園棒球場,西下A,seat,1.0.0,22,13
樂天桃園棒球場,西下A,seat,1.0.0,22,14
樂天桃園棒球場,西下A,seat,1.0.0,22,15
樂天桃園棒球場,西下A,seat,1.0.0,22,16
樂天桃園棒球場,西下A,seat,1.0.0,22,17
樂天桃園棒球場,西下A,seat,1.0.0,22,18
樂天桃園棒球場,西下A,seat,1.0.0,22,19
樂天桃園棒球場,西下A,pillar,1.0.0,23,1
樂天桃園棒球場,西下A,pillar,1.0.0,23,2
樂天桃園棒球場,西下A,pillar,1.0.0,23,3
樂天桃園棒球場,西下A,seat,1.0.0,23,4
樂天桃園棒球場,西下A,seat,1.0.0,23,5
樂天桃園棒球場,西下A,seat,1.0.0,23,6
樂天桃園棒球場,西下A,seat,1.0.0,23,7
樂天桃園棒球場,西下A,seat,1.0.0,23,8
樂天桃園棒球場,西下A,seat,1.0.0,23,9
樂天桃園棒球場,西下A,seat,1.0.0,23,10
樂天桃園棒球場,西下A,seat,1.0.0,23,11
樂天桃園棒球場,西下A,seat,1.0.0,23,12
樂天桃園棒球場,西下A,seat,1.0.0,23,13
樂天桃園棒球場,西下A,seat,1.0.0,23,14
樂天桃園棒球場,西下A,seat,1.0.0,23,15
樂天桃園棒球場,西下A,seat,1.0.0,23,16
樂天桃園棒球場,西下A,seat,1.0.0,23,17
樂天桃園棒球場,西下A,seat,1.0.0,23,18
樂天桃園棒球場,西下A,seat,1.0.0,23,19
樂天桃園棒球場,西下A,pillar,1.0.0,24,1
樂天桃園棒球場,西下A,pillar,1.0.0,24,2
樂天桃園棒球場,西下A,pillar,1.0.0,24,3
樂天桃園棒球場,西下A,pillar,1.0.0,24,4
樂天桃園棒球場,西下A,pillar,1.0.0,24,5
樂天桃園棒球場,西下A,seat,1.0.0,24,6
樂天桃園棒球場,西下A,seat,1.0.0,24,7
樂天桃園棒球場,西下A,seat,1.0.0,24,8
樂天桃園棒球場,西下A,seat,1.0.0,24,9
樂天桃園棒球場,西下A,seat,1.0.0,24,10
樂天桃園棒球場,西下A,seat,1.0.0,24,11
樂天桃園棒球場,西下A,seat,1.0.0,24,12
樂天桃園棒球場,西下A,seat,1.0.0,24,13
樂天桃園棒球場,西下A,seat,1.0.0,24,14
樂天桃園棒球場,西下A,seat,1.0.0,24,15
樂天桃園棒球場,西下A,seat,1.0.0,24,16
樂天桃園棒球場,西下A,seat,1.0.0,24,17
樂天桃園棒球場,西下A,seat,1.0.0,24,18
樂天桃園棒球場,西下A,seat,1.0.0,24,19
樂天桃園棒球場,西下A,pillar,1.0.0,25,1
樂天桃園棒球場,西下A,pillar,1.0.0,25,2
樂天桃園棒球場,西下A,pillar,1.0.0,25,3
樂天桃園棒球場,西下A,pillar,1.0.0,25,4
樂天桃園棒球場,西下A,pillar,1.0.0,25,5
樂天桃園棒球場,西下A,pillar,1.0.0,25,6
樂天桃園棒球場,西下A,pillar,1.0.0,25,7
樂天桃園棒球場,西下A,seat,1.0.0,25,8
樂天桃園棒球場,西下A,seat,1.0.0,25,9
樂天桃園棒球場,西下A,seat,1.0.0,25,10
樂天桃園棒球場,西下A,seat,1.0.0,25,11
樂天桃園棒球場,西下A,seat,1.0.0,25,12
樂天桃園棒球場,西下A,seat,1.0.0,25,13
樂天桃園棒球場,西下A,seat,1.0.0,25,14
樂天桃園棒球場,西下A,seat,1.0.0,25,15
樂天桃園棒球場,西下A,seat,1.0.0,25,16
樂天桃園棒球場,西下A,seat,1.0.0,25,17
樂天桃園棒球場,西下A,seat,1.0.0,25,18
樂天桃園棒球場,西下A,seat,1.0.0,25,19
樂天桃園棒球場,西下A,pillar,1.0.0,26,1
樂天桃園棒球場,西下A,pillar,1.0.0,26,2
樂天桃園棒球場,西下A,pillar,1.0.0,26,3
樂天桃園棒球場,西下A,pillar,1.0.0,26,4
樂天桃園棒球場,西下A,pillar,1.0.0,26,5
樂天桃園棒球場,西下A,pillar,1.0.0,26,6
樂天桃園棒球場,西下A,pillar,1.0.0,26,7
樂天桃園棒球場,西下A,pillar,1.0.0,26,8
樂天桃園棒球場,西下A,seat,1.0.0,26,9
樂天桃園棒球場,西下A,seat,1.0.0,26,10
樂天桃園棒球場,西下A,seat,1.0.0,26,11
樂天桃園棒球場,西下A,seat,1.0.0,26,12
樂天桃園棒球場,西下A,seat,1.0.0,26,13
樂天桃園棒球場,西下A,seat,1.0.0,26,14
樂天桃園棒球場,西下A,seat,1.0.0,26,15
樂天桃園棒球場,西下A,seat,1.0.0,26,16
樂天桃園棒球場,西下A,seat,1.0.0,26,17
樂天桃園棒球場,西下A,seat,1.0.0,26,18
樂天桃園棒球場,西下A,seat,1.0.0,26,19
